Driver_ID,Age,Experience_Years,Average_Speed,Harsh_Braking_Count,Night_Driving_Hours,Distance_Per_Day,Mobile_Usage_Time,Traffic_Violations,Accident_History,Driving_Score,Risk_Level,Insurance_Premium
DRV00046,35,8,39.9,0,1.7,38.1,11.4,0,1,85,Low,7413.29
DRV00047,36,7,48.1,4,2.3,58.1,6.9,0,0,83,Low,6702.61
DRV00048,32,1,55.5,5,1.4,27.4,5.7,1,1,73,Medium,12752.33
DRV00049,36,7,49.3,4,0.6,63.6,0.8,0,0,96,Low,6149.4
DRV00050,48,3,65.1,0,4.3,26.2,3.7,0,4,53,High,19877.53
DRV00051,56,38,60.9,2,2.9,31.4,28.5,0,1,72,Medium,10526.28
DRV00052,66,13,49.2,0,1.6,34.7,3.8,1,0,100,Low,6045.88
DRV00053,36,14,68.5,1,6.9,55.6,3.1,0,0,88,Low,5792.18
DRV00054,68,19,33.3,10,2.8,22.8,6.2,0,0,75,Low,6598.67
DRV00055,45,23,52.7,0,3.8,64.4,5.6,1,0,90,Low,5173.91
DRV00056,29,9,31.0,13,3.0,65.3,6.5,0,0,59,Medium,10994.72
DRV00057,43,24,41.2,1,2.1,39.8,8.0,4,1,61,Medium,12964.86
DRV00058,30,8,40.6,3,3.6,78.8,8.7,0,3,53,High,17715.63
DRV00059,28,4,38.7,0,2.9,38.4,25.2,1,0,74,Medium,12260.05
DRV00060,48,7,49.4,0,4.0,51.6,3.4,1,2,63,Medium,13663.34
DRV00061,35,0,55.2,3,1.2,67.8,6.9,0,0,85,Low,7468.81
DRV00062,62,15,47.5,5,0.5,40.4,16.5,0,1,83,Low,6085.17
DRV00063,49,2,87.1,1,0.9,92.4,2.8,0,0,91,Low,6465.6
DRV00064,22,3,60.5,3,2.5,29.5,6.6,0,3,50,High,18065.64
DRV00065,49,2,49.3,4,1.9,36.2,2.6,1,1,71,Medium,12713.03
DRV00066,37,0,85.4,1,2.4,60.2,10.7,1,0,75,Low,9084.78
DRV00067,57,15,36.8,1,4.4,48.5,14.9,0,0,89,Low,5690.97
DRV00068,40,18,45.6,4,2.9,106.5,2.9,0,0,95,Low,5453.2
DRV00069,60,25,54.8,4,4.1,78.6,22.2,0,1,69,Medium,10659.32
DRV00070,64,42,54.3,0,4.3,36.2,7.3,2,0,84,Medium,10495.83
DRV00071,68,34,68.9,2,1.8,32.0,39.2,3,0,64,Medium,11632.73
DRV00072,47,2,84.4,7,5.6,96.4,7.3,0,0,52,Medium,12195.38
DRV00073,61,16,32.4,11,0.9,25.4,1.2,0,2,62,Medium,12407.53
DRV00074,70,29,69.4,2,1.1,37.0,6.2,0,2,82,Medium,11730.55
DRV00075,60,34,35.0,0,2.6,67.2,9.8,3,0,79,Medium,11381.62
DRV00076,33,11,77.8,3,2.5,69.3,3.2,0,1,72,Medium,10556.11
DRV00077,19,0,60.7,0,3.7,30.5,4.7,0,0,89,Low,7646.01
DRV00078,27,2,30.3,0,2.3,37.3,12.3,0,0,88,Low,7001.67
DRV00079,22,3,43.6,3,2.9,55.3,13.1,2,1,56,Medium,14508.97
DRV00080,19,0,89.0,2,0.9,47.6,8.8,0,0,79,Low,9101.53
DRV00081,55,35,54.3,3,1.9,25.2,8.5,0,1,92,Low,6435.73
DRV00082,31,6,47.0,1,2.9,53.2,2.7,1,0,92,Low,7838.09
DRV00083,22,0,61.5,0,5.8,38.8,11.4,0,0,83,Low,8095.84
DRV00084,60,27,75.3,13,4.0,19.7,12.0,1,0,59,Medium,12078.14
DRV00085,41,3,59.7,6,8.5,16.7,23.9,1,0,56,Medium,12347.31
DRV00086,35,0,68.6,1,2.5,81.9,18.6,0,0,74,Medium,11524.91
DRV00087,67,36,30.7,0,0.8,19.7,8.4,0,0,100,Low,5032.35
DRV00088,25,4,48.6,2,2.0,19.0,4.6,1,1,74,Medium,12465.96
DRV00089,49,27,65.0,4,3.2,69.0,1.0,2,0,75,Medium,10188.92
DRV00090,44,9,60.5,1,7.2,51.3,25.2,0,2,54,Medium,13765.32
DRV00091,51,5,47.1,1,2.1,60.6,10.2,0,2,67,Medium,13260.08
DRV00092,70,41,62.7,0,1.4,31.8,19.5,0,1,82,Low,6837.33
DRV00093,66,37,25,3,4.4,65.2,29.1,0,0,78,Low,6611.59
DRV00094,35,1,54.2,2,0.5,55.6,5.9,4,0,60,Medium,13124.25
DRV00095,55,35,83.1,0,1.4,36.8,10.0,0,1,91,Low,5975.46
DRV00096,23,4,55.3,4,4.1,42.6,20.4,0,1,61,Medium,13018.11
DRV00097,53,24,52.5,4,10,85.6,6.7,0,0,85,Low,6174.12
DRV00098,43,4,26.8,1,2.4,16.2,23.4,1,1,63,Medium,12218.05
DRV00099,59,27,54.9,1,1.9,47.8,10.2,1,0,90,Low,5317.97
DRV00100,57,8,50.4,0,5.1,40.0,1.7,1,3,51,High,17728.12
DRV00101,68,28,59.2,13,6.7,65.7,4.4,0,0,66,Medium,9745.73
DRV00102,50,26,86.8,6,1.1,38.7,14.0,0,0,82,Low,6042.89
DRV00103,36,2,59.1,9,1.2,28.9,8.9,0,0,69,Medium,11252.89
DRV00104,23,2,60.2,0,5.4,68.8,25.1,0,1,66,Medium,12663.51
DRV00105,31,13,80.4,3,2.7,94.0,5.1,0,1,73,Medium,10875.15
DRV00106,49,1,43.9,5,2.3,24.8,4.3,0,0,86,Low,7170.12
DRV00107,68,32,43.0,2,4.4,40.0,21.4,1,1,72,Medium,10908.52
DRV00108,39,4,77.3,6,1.3,56.3,9.2,1,1,62,Medium,13360.84
DRV00109,47,1,56.7,0,0.5,54.9,10.4,0,0,94,Low,6496.93
DRV00110,40,1,67.6,0,2.3,31.9,18.5,0,3,47,High,18650.01
DRV00111,69,33,57.3,2,2.7,57.9,4.2,0,0,100,Low,5800.23
DRV00112,63,27,66.7,2,5.6,70.5,13.1,1,1,75,Low,8191.89
DRV00113,43,11,31.5,0,0.4,44.7,15.4,0,0,96,Low,5420.23
DRV00114,54,2,38.9,11,2.4,25.8,11.9,0,1,53,Medium,13229.38
DRV00115,65,11,42.2,3,1.8,48.1,8.8,0,2,70,Medium,12120.02
DRV00116,22,3,69.8,23,7.4,81.5,16.7,0,0,20,High,18624.12
DRV00117,62,40,65.0,1,1.6,68.2,7.2,0,4,68,High,18598.45
DRV00118,22,2,37.6,2,2.6,70.8,11.9,0,0,80,Low,7646.21
DRV00119,26,8,51.5,13,2.7,36.3,1.9,0,0,65,Medium,11549.28
DRV00120,40,16,82.4,1,4.4,19.5,3.3,0,0,92,Low,6825.83
DRV00121,27,2,44.1,3,8.4,15.8,1.7,0,1,65,Medium,11774.3
DRV00122,58,1,35.5,1,7.2,48.4,6.1,0,0,76,Low,7395.35
DRV00123,56,9,48.2,5,9.2,83.3,3.4,0,0,69,Medium,10535.97
DRV00124,33,4,68.9,1,4.2,59.4,6.6,0,1,69,Medium,11554.66
DRV00125,49,19,51.1,1,2.9,48.2,12.1,0,1,91,Low,6244.73
DRV00126,36,17,65.6,0,1.8,48.6,8.0,0,0,99,Low,5421.04
DRV00127,42,16,38.8,6,4.3,57.3,3.3,0,4,42,High,18468.53
DRV00128,27,3,45.0,0,0.5,33.4,22.6,0,2,74,Medium,13877.45
DRV00129,38,5,40.7,7,4.0,68.7,10.2,0,0,76,Low,7498.59
DRV00130,25,6,33.3,5,3.0,26.5,21.0,0,1,62,Medium,12142.69
DRV00131,58,39,60.4,6,1.7,24.8,16.3,0,0,84,Low,6298.76
DRV00132,50,30,76.2,0,1.1,19.9,6.6,0,0,100,Low,6187.88
DRV00133,39,17,41.2,5,4.5,80.7,12.9,0,0,85,Low,7351.92
DRV00134,37,9,51.2,2,3.1,12.7,5.9,0,2,69,Medium,12497.03
DRV00135,67,9,54.7,5,2.2,67.1,5.4,0,0,92,Low,6125.14
DRV00136,26,1,42.1,1,4.8,26.8,13.9,0,1,76,Low,9174.82
DRV00137,18,0,26.8,8,3.0,79.0,14.1,0,0,60,Medium,12330.58
DRV00138,20,0,31.5,10,0.5,70.6,18.8,0,0,63,Medium,13054.81
DRV00139,39,9,36.0,2,3.2,57.7,17.8,1,0,76,Low,7645.69
DRV00140,61,12,72.2,9,7.9,90.2,2.6,0,0,61,Medium,10844.43
DRV00141,34,12,60.4,12,2.0,88.0,0.8,1,0,70,Medium,11214.75
DRV00142,43,21,25,4,2.0,47.2,13.1,0,0,93,Low,5206.3
DRV00143,44,22,40.8,3,4.7,39.8,5.3,2,0,74,Medium,10901.54
DRV00144,22,4,80.9,9,1.4,77.2,3.9,0,1,56,Medium,12527.43
DRV00145,50,28,64.3,2,2.9,23.4,9.2,1,0,92,Low,5590.61
DRV00146,55,4,72.1,0,0.7,54.2,1.4,1,1,84,Low,8189.92
DRV00147,44,11,73.7,8,5.0,46.9,11.0,0,0,61,Medium,10509.78
DRV00148,64,14,71.7,15,2.9,13.3,8.4,0,0,59,Medium,10992.98
DRV00149,64,7,81.0,3,1.6,55.1,12.5,1,2,51,Medium,14085.86
DRV00150,46,7,32.0,5,1.1,38.1,5.0,0,0,89,Low,5714.76
DRV00151,33,9,91.2,2,2.6,5,11.4,1,0,66,Medium,10983.3
DRV00152,21,2,80.3,6,2.1,35.2,3.7,1,0,66,Medium,12172.57
DRV00153,63,9,70.2,3,1.1,5,4.5,2,2,61,Medium,14042.35
DRV00154,30,0,55.2,3,6.3,83.7,11.5,2,0,59,Medium,12803.42
DRV00155,30,11,104.7,2,1.7,111.5,4.6,0,1,63,Medium,12467.48
DRV00156,40,9,56.6,2,0.9,76.7,9.3,2,0,76,Medium,11364.33
DRV00157,32,11,65.6,10,3.8,62.8,3.7,0,2,45,High,16959.14
DRV00158,61,21,56.6,13,4.5,92.5,4.0,0,1,52,Medium,11675.91
DRV00159,52,3,27.8,0,4.4,41.1,3.7,0,0,84,Low,5862.86
DRV00160,48,21,56.2,3,0.2,48.2,5.7,0,1,90,Low,5858.17
DRV00161,29,1,75.0,1,4.2,33.6,7.1,0,3,45,High,18839.01
DRV00162,62,14,48.7,0,0.4,90.8,7.5,1,1,94,Low,7603.64
DRV00163,59,21,29.1,0,3.4,28.9,4.7,2,0,91,Medium,10222.07
DRV00164,35,17,54.2,10,2.0,45.6,12.3,1,0,72,Medium,10887.01
DRV00165,33,12,49.2,1,5.8,21.2,18.6,0,0,88,Low,6639.29
DRV00166,57,38,36.0,0,1.8,73.0,9.8,3,0,81,Medium,10358.15
DRV00167,23,4,54.6,0,1.8,65.3,7.7,0,3,58,High,18395.53
DRV00168,24,1,72.5,3,3.3,61.3,2.6,0,1,70,Medium,12177.04
DRV00169,44,12,62.7,3,3.4,10.1,4.0,0,0,92,Low,6176.02
DRV00170,37,15,61.1,11,5.5,25.8,13.2,0,0,58,Medium,11005.17
DRV00171,42,10,42.2,6,4.6,57.3,6.1,1,0,74,Medium,11305.13
DRV00172,38,9,55.9,13,6.7,14.2,5.8,0,3,31,High,20654.86
DRV00173,29,10,58.4,5,7.1,42.4,2.2,1,1,63,Medium,12457.16
DRV00174,34,4,51.9,0,2.5,6.7,11.1,0,2,66,Medium,12588.09
DRV00175,23,0,60.8,1,2.5,13.1,0.7,0,0,87,Low,6872.74
DRV00176,46,11,36.7,3,3.2,74.1,8.2,0,3,61,High,17818.44
DRV00177,47,25,62.9,2,2.8,74.6,6.5,1,0,95,Low,5637.3
DRV00178,61,10,81.8,2,3.6,31.2,8.4,1,1,65,Medium,12846.22
DRV00179,43,0,55.4,2,1.5,5,16.5,0,1,69,Medium,12154.41
DRV00180,30,7,76.0,2,2.5,71.5,3.1,0,0,82,Low,5781.86
DRV00181,57,37,65.4,0,2.0,54.5,16.0,0,0,96,Low,5632.43
DRV00182,58,34,50.0,36,3.6,15.6,3.5,0,0,20,High,17018.36
DRV00183,26,3,74.4,2,3.2,5,8.2,0,0,86,Low,7297.98
DRV00184,36,1,54.9,0,2.9,77.4,19.8,0,0,85,Low,6507.39
DRV00185,41,17,60.1,5,3.6,41.7,2.9,1,0,88,Low,6468.47
DRV00186,40,2,25,5,1.6,76.7,12.3,1,1,63,Medium,13199.19
DRV00187,31,13,59.5,1,1.9,56.1,6.5,0,0,100,Low,4437.01
DRV00188,61,6,75.5,2,0.6,78.1,14.5,0,0,82,Low,7141.1
DRV00189,61,25,37.0,1,2.6,50.1,13.7,0,0,97,Low,6575.56
DRV00190,41,14,71.6,0,6.5,41.4,17.8,1,0,78,Low,7065.38
DRV00191,31,6,66.5,1,1.9,23.0,3.3,1,2,66,Medium,12898.21
DRV00192,58,29,94.7,0,2.9,53.6,8.5,2,2,51,Medium,14834.03
DRV00193,35,2,51.1,1,2.5,33.0,16.3,1,1,72,Medium,12729.36
DRV00194,26,3,40.8,0,2.2,44.8,28.6,0,0,88,Low,7771.8
DRV00195,24,2,48.9,1,7.5,63.0,14.0,0,0,73,Medium,11061.41
DRV00196,40,6,51.6,2,5.0,38.1,2.6,1,1,62,Medium,12882.97
DRV00197,38,4,58.3,1,4.1,82.5,5.9,0,2,70,Medium,12595.92
DRV00198,56,32,64.0,4,6.7,70.2,5.1,0,1,83,Low,7672.27
DRV00199,18,0,65.8,7,3.8,42.8,15.6,3,1,34,High,20050.31
DRV00200,34,6,63.5,6,3.2,50.1,10.0,1,0,63,Medium,11251.49
DRV00201,35,2,51.0,0,7.3,74.7,7.7,1,1,70,Medium,13022.53
DRV00202,64,15,64.3,2,2.9,51.6,6.3,1,0,85,Low,5493.21
DRV00203,28,7,76.6,6,5.5,39.5,3.3,0,2,49,High,17282.19
DRV00204,69,27,57.2,4,3.8,56.6,9.0,0,0,89,Low,6094.94
DRV00205,24,4,54.4,5,0.1,37.4,7.2,0,3,64,High,18651.58
DRV00206,63,41,45.7,2,5.5,58.3,2.4,0,2,79,Medium,12355.3
DRV00207,20,1,74.2,1,3.6,59.3,4.5,0,1,66,Medium,12679.71
DRV00208,49,12,55.8,6,1.2,18.0,1.2,1,1,77,Low,8001.67
DRV00209,66,42,39.3,1,1.5,75.6,8.3,3,0,83,Medium,11124.63
DRV00210,32,14,67.3,9,2.9,27.6,12.1,1,0,64,Medium,10745.97
DRV00211,60,8,59.0,1,7.1,66.6,18.0,0,0,80,Low,7683.21
DRV00212,55,6,63.4,2,2.6,59.9,6.3,0,0,86,Low,5695.96
DRV00213,62,38,87.4,1,0.8,59.4,7.1,1,0,87,Low,6673.36
DRV00214,43,14,39.0,0,0.9,37.6,4.5,1,3,73,High,17509.29
DRV00215,70,4,63.8,9,2.8,49.2,36.8,0,0,51,Medium,12205.51
DRV00216,54,27,65.0,0,5.0,26.3,4.7,0,2,84,Medium,11549.46
DRV00217,33,9,25,2,0.8,48.3,8.3,1,0,93,Low,6753.54
DRV00218,19,1,61.0,3,3.1,25.8,10.1,0,0,82,Low,8973.8
DRV00219,67,17,104.1,3,6.4,74.7,14.5,1,2,48,High,19046.39
DRV00220,32,9,74.3,1,8.3,12.8,4.1,1,1,61,Medium,12119.1
DRV00221,62,22,77.5,3,1.4,38.0,6.3,0,0,93,Low,6280.83
DRV00222,18,0,67.3,0,5.5,40.1,1.1,2,1,65,Medium,13357.32
DRV00223,22,2,51.4,3,2.2,14.1,8.6,0,0,83,Low,6939.51
DRV00224,57,22,61.6,0,2.0,79.6,3.3,3,3,46,High,19555.71
DRV00225,54,2,63.8,6,4.2,67.1,2.9,0,0,73,Medium,11279.16
DRV00226,58,5,68.4,5,1.5,15.8,7.0,1,0,70,Medium,11306.68
DRV00227,28,6,42.4,3,0.9,49.0,29.1,1,0,79,Low,8378.51
DRV00228,36,0,41.5,0,1.3,101.7,17.9,2,0,69,Medium,11894.8
DRV00229,48,22,95.5,0,0.9,59.1,4.3,1,1,76,Low,8495.37
DRV00230,33,3,77.8,7,1.2,57.6,8.5,1,1,53,Medium,13383.42
DRV00231,28,10,56.3,7,2.0,57.6,9.8,0,0,84,Low,7521.46
DRV00232,41,5,46.2,2,1.6,54.3,2.1,1,0,84,Low,7571.42
DRV00233,66,37,58.8,1,3.4,56.4,15.7,0,0,94,Low,6104.48
DRV00234,63,2,25,6,4.9,47.3,3.2,0,4,42,High,20090.74
DRV00235,26,0,25,2,10,81.1,2.2,0,0,71,Medium,11707.95
DRV00236,18,0,64.9,3,3.9,56.9,2.8,1,1,69,Medium,12932.1
DRV00237,44,8,44.3,3,0.5,66.6,3.6,1,0,91,Low,6560.92
DRV00238,33,1,57.0,9,0.3,5,6.2,0,1,72,Medium,13032.0
DRV00239,26,4,75.1,6,1.8,43.8,14.1,0,2,49,High,16967.07
DRV00240,41,1,48.6,1,3.3,46.6,27.4,0,0,80,Low,7007.63
DRV00241,33,1,25,4,1.8,62.5,10.1,0,0,78,Low,7812.25
DRV00242,29,7,45.3,0,5.1,36.4,7.7,0,3,63,High,17275.72
DRV00243,61,13,56.0,0,6.7,72.5,0.7,1,1,80,Low,7629.95
DRV00244,69,19,52.2,1,10,11.3,9.1,0,0,80,Low,5620.31
DRV00245,18,0,38.1,1,5.0,35.9,6.8,0,0,77,Low,7144.5
DRV00246,59,19,65.3,1,0.6,74.8,23.1,0,0,99,Low,5769.44
DRV00247,36,8,71.6,5,3.9,34.5,16.9,1,0,67,Medium,11248.9
DRV00248,37,5,75.6,0,0.9,6.7,5.4,1,0,83,Low,6806.42
DRV00249,23,1,41.8,1,6.8,79.3,5.5,2,0,70,Medium,12148.11
DRV00250,57,4,47.6,0,5.0,50.7,8.2,0,4,41,High,20561.21
DRV00251,47,4,47.7,6,3.1,82.8,4.1,0,0,79,Low,6891.09
DRV00252,66,10,30.9,0,4.2,50.7,8.0,0,0,95,Low,6369.27
DRV00253,18,0,58.8,0,0.1,18.5,4.9,0,0,94,Low,7436.16
DRV00254,22,0,54.0,5,4.0,67.0,33.0,0,2,39,High,19322.25
DRV00255,69,25,69.3,16,3.2,50.1,16.8,0,1,46,High,15676.77
DRV00256,56,3,45.8,0,5.1,18.3,7.5,0,0,85,Low,6263.22
DRV00257,37,13,45.6,1,4.1,17.9,3.1,0,0,96,Low,6081.91
DRV00258,30,5,54.1,0,3.2,28.8,0.3,2,2,61,Medium,13573.84
DRV00259,23,4,80.9,9,4.5,65.5,1.8,2,2,23,High,20464.02
DRV00260,45,23,81.3,8,4.5,79.2,34.4,0,1,44,High,16876.27
DRV00261,25,6,43.7,7,5.1,63.5,8.3,0,0,70,Medium,9705.82
DRV00262,28,1,39.5,6,4.9,64.2,7.5,0,1,67,Medium,11577.34
DRV00263,26,7,64.9,2,0.6,42.4,6.4,1,1,72,Medium,11454.1
DRV00264,60,21,33.7,3,2.7,43.6,9.6,1,0,92,Low,5549.97
DRV00265,57,3,95.2,2,3.0,52.1,3.9,0,0,72,Medium,11948.5
DRV00266,53,24,48.4,2,7.2,58.0,3.1,1,0,80,Low,6744.72
DRV00267,18,0,68.7,4,4.6,5,6.8,1,2,42,High,19914.6
DRV00268,56,30,54.8,2,0.9,25.7,0.3,1,1,86,Low,6951.35
DRV00269,24,0,72.9,6,5.9,31.1,5.4,0,2,45,High,19177.45
DRV00270,30,11,43.9,0,4.4,82.4,3.2,0,1,76,Low,6956.91
DRV00271,18,0,41.9,3,1.3,39.6,2.9,1,0,84,Low,8269.83
DRV00272,56,15,51.9,14,2.9,109.1,8.2,1,0,57,Medium,10321.41
DRV00273,63,35,50.8,3,1.9,36.1,15.1,1,3,51,High,17895.15
DRV00274,38,3,59.4,3,4.9,17.2,10.8,0,0,81,Low,7590.15
DRV00275,21,0,66.3,0,1.9,86.0,26.0,0,1,76,Low,9520.8
DRV00276,24,4,75.7,8,5.9,19.0,5.1,1,0,49,High,15503.59
DRV00277,42,13,100.1,1,3.6,30.4,5.3,1,2,55,Medium,12905.21
DRV00278,63,45,41.9,3,4.1,15.8,4.1,0,0,92,Low,5533.26
DRV00279,45,8,50.1,3,1.7,43.6,16.8,0,0,94,Low,6969.61
DRV00280,57,19,37.2,1,6.7,49.9,4.8,0,0,89,Low,5876.28
DRV00281,23,2,60.0,1,2.3,64.4,19.0,6,2,22,High,22130.36
DRV00282,60,22,25.3,3,4.3,65.4,15.6,2,3,41,High,19256.32
DRV00283,36,0,83.2,1,7.2,24.4,1.7,0,0,73,Medium,11335.41
DRV00284,67,34,36.0,0,4.3,41.0,15.7,0,2,81,Medium,11228.6
DRV00285,45,20,60.5,4,0.4,39.5,4.1,0,2,85,Medium,11214.05
DRV00286,46,20,46.5,1,3.2,59.8,15.7,0,2,70,Medium,12326.29
DRV00287,19,1,64.3,5,7.0,62.1,6.0,0,2,56,Medium,14395.24
DRV00288,59,23,60.3,8,3.8,47.0,11.2,0,1,70,Medium,10884.93
DRV00289,59,32,64.4,3,1.7,59.9,15.1,0,1,88,Low,7006.78
DRV00290,59,35,79.4,1,1.4,63.9,15.1,0,0,93,Low,6386.53
DRV00291,39,19,44.7,0,3.7,16.9,6.4,1,1,84,Low,7727.64
DRV00292,61,21,70.8,1,2.0,29.4,4.1,2,2,69,Medium,13211.73
DRV00293,34,2,53.2,7,4.4,5,12.0,0,0,68,Medium,12365.02
DRV00294,52,30,52.8,1,3.2,36.8,5.1,4,1,64,Medium,12840.77
DRV00295,28,2,39.1,8,1.2,35.4,19.5,0,0,67,Medium,11034.07
DRV00296,68,23,30.7,8,0.5,82.7,2.9,1,0,85,Low,5965.51
DRV00297,54,11,46.9,3,1.7,64.4,4.9,1,0,89,Low,5707.19
DRV00298,18,0,47.2,2,1.9,54.4,3.8,1,1,69,Medium,13556.11
DRV00299,25,7,49.7,3,4.5,23.6,5.2,0,0,76,Low,6630.72
DRV00300,27,0,76.2,2,2.6,94.9,13.9,1,2,50,Medium,14480.56
DRV00301,56,30,64.6,7,4.1,37.1,14.7,1,0,66,Medium,10840.88
DRV00302,32,6,52.2,0,2.7,55.6,2.7,1,0,91,Low,6344.63
DRV00303,25,1,49.6,3,7.9,49.4,20.4,0,0,70,Medium,11910.68
DRV00304,32,12,30.8,1,7.2,52.6,25.7,0,0,77,Low,5750.09
DRV00305,23,2,41.7,1,0.2,30.6,0.6,0,0,100,Low,7480.59
DRV00306,44,11,71.2,3,1.8,63.7,11.6,5,0,52,Medium,13956.02
DRV00307,53,30,66.9,2,6.5,75.7,3.5,0,0,92,Low,4573.14
DRV00308,24,1,29.9,6,4.2,45.8,1.9,1,1,61,Medium,12826.63
DRV00309,56,27,68.6,1,4.1,57.9,14.5,3,0,70,Medium,11173.99
DRV00310,49,28,89.1,10,3.3,51.1,21.0,1,1,39,High,16970.21
DRV00311,59,0,64.7,1,2.5,46.4,8.0,0,1,80,Low,8151.8
DRV00312,64,35,70.7,13,1.8,36.7,4.4,0,0,70,Medium,10230.32
DRV00313,22,4,47.4,6,7.5,103.9,16.1,0,1,54,Medium,12008.96
DRV00314,47,21,37.4,0,4.4,55.8,15.3,0,3,65,High,17025.1
DRV00315,34,7,54.3,5,2.2,71.6,4.1,0,0,89,Low,7282.04
DRV00316,30,7,57.1,1,1.8,30.5,25.5,0,1,76,Low,8256.79
DRV00317,60,31,37.5,3,0.5,21.2,13.3,4,2,53,Medium,14288.73
DRV00318,66,32,55.9,3,0.6,64.7,9.5,0,0,99,Low,5191.2
DRV00319,25,7,57.2,4,2.4,50.9,7.2,0,0,85,Low,7830.78
DRV00320,39,11,64.8,2,6.1,71.1,7.9,0,3,50,High,16884.34
DRV00321,64,17,64.8,7,1.4,19.2,18.2,0,0,85,Low,7016.92
DRV00322,58,33,44.4,2,1.7,43.6,3.9,0,2,89,Medium,11752.4
DRV00323,34,11,44.9,6,2.2,71.6,7.0,1,0,75,Low,6641.54
DRV00324,67,18,43.3,2,5.8,76.3,7.6,1,0,87,Low,7185.9
DRV00325,39,13,43.9,7,0.7,25.0,4.9,0,0,86,Low,5736.29
DRV00326,46,24,67.9,3,5.6,30.7,2.4,0,0,93,Low,5261.77
DRV00327,19,1,25,0,4.2,36.0,5.0,0,0,86,Low,7553.12
